Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1984-05-31,4447,1919,New York,New York,8335897.0
Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590,2015,Houston,Texas,2302878.0
Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737,1985,Marlborough,Massachusetts,40971.0
Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,Atlanta,Georgia,499127.0
Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,773840,1906,Charlotte,North Carolina,897720.0
Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465,1891,Austin,Minnesota,26208.0
Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1957-03-04,4281,2016,Pittsburgh,Pennsylvania,302898.0
HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217,1939 (2015),Palo Alto,California,66010.0
Hubbell Incorporated,Industrials,Industrial Machinery,"Shelton, Connecticut",2023-10-18,48898,1888,Shelton,Connecticut,41897.0
Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,Louisville,Kentucky,624444.0
Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585,2011,Newport News,Virginia,184306.0
IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101,1988,Lake Forest,Illinois,19252.0
Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983,Westbrook,Maine,20645.0
Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,49826,1912,Glenview,Illinois,47258.0
Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803,1998,San Diego,California,1381162.0
Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169,1991,Wilmington,Delaware,71569.0
Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1699150,1859,Davidson,North Carolina,15771.0
Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts",2023-03-15,1145197,2000,Acton,Massachusetts,23829.0
Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,Santa Clara,California,126930.0
Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949,2000,Atlanta,Georgia,499127.0
International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889),New York,New York,8335897.0
International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434,1898,Memphis,Tennessee,621056.0
Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961 (1930),New York,New York,8335897.0
Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,Mountain View,California,81059.0
Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,Sunnyvale,California,153091.0
Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935,Atlanta,Georgia,499127.0
Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,Dallas,Texas,1299544.0
IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,Durham,North Carolina,291928.0
Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569,1951,Boston,Massachusetts,650706.0
J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,728535,1961,Lowell,Arkansas,11050.0
Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,779152,1976,Monett,Missouri,9789.0
Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,Dallas,Texas,1299544.0
Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,New Brunswick,New Jersey,55998.0
JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871),New York,New York,8335897.0
Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996,Sunnyvale,California,153091.0
Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1989-09-11,55067,1906,Chicago,Illinois,2665039.0
Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135,1981,Burlington,Massachusetts,25966.0
KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825,Cleveland,Ohio,361607.0
Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014 (1939),Santa Rosa,California,177181.0
Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,Irving,Texas,254715.0
Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,879101,1958,New Hyde Park,New York,10161.0
Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,Houston,Texas,2302878.0
KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,319201,1975/1977 (1997),Milpitas,California,77738.0
Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,Cincinnati,Ohio,309513.0
L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,"2019 (L3 1997, Harris 1895)",Melbourne,Florida,86441.0
LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978,Burlington,North Carolina,59287.0
Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,707549,1980,Fremont,California,223871.0
Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273,2016 (1950),Eagle,Idaho,32399.0
Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988,Las Vegas,Nevada,656274.0
Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,Miami,Florida,449514.0
Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,Beverly Hills,California,31326.0
LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696,1998,Chicago,Illinois,2665039.0
Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1995-05-31,60086,1959,New York,New York,8335897.0
Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,Mooresville,North Carolina,52656.0
M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856,Buffalo,New York,276486.0
Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,101778,1887,Houston,Texas,2302878.0
Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887),Findlay,Ohio,40249.0
MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000,New York,New York,8335897.0
Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709,1905,New York,New York,8335897.0
Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993,Raleigh,North Carolina,476587.0
Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929,Livonia,Michigan,93779.0
Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1141391,1966,Harrison,New York,29369.0
Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103,1986,Dallas,Texas,1299544.0
McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940,Chicago,Illinois,2665039.0
McKesson,Health Care,Health Care Distributors,"Irving, Texas",1999-01-13,927653,1833,Irving,Texas,254715.0
Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,Kenilworth,New Jersey,8277.0
Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,Menlo Park,California,32295.0
MetLife,Financials,Life & Health Insurance,"New York City, New York",2000-12-11,1099219,1868,New York,New York,8335897.0
Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,1945,Columbus,Ohio,907971.0
Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989,Chandler,Arizona,280711.0
Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978,Boise,Idaho,236634.0
Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,Redmond,Washington,76732.0
Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977,Memphis,Tennessee,621056.0
Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010,Cambridge,Massachusetts,118488.0
Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878,Calhoun,Georgia,17976.0
Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-02,1179929,1980,Long Beach,California,451307.0
Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545,"2005 (Molson 1786, Coors 1873)",Chicago,Illinois,2665039.0
Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012,Chicago,Illinois,2665039.0
Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997,Kirkland,Washington,92151.0
Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,865752,2012 (1935),Corona,California,159567.0
Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1998-07-01,1059556,1909,New York,New York,8335897.0
Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993-07-29,895421,1935,New York,New York,8335897.0
Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785,2004 (1865 / 1909),Tampa,Florida,398173.0
Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011),Chicago,Illinois,2665039.0
MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198,1969,New York,New York,8335897.0
"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193,1971,New York,New York,8335897.0
NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,1002047,1992,San Jose,California,971233.0
Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,Los Gatos,California,32402.0
Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,Denver,Colorado,713252.0
News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013 (News Corporation 1980),New York,New York,8335897.0
News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013 (News Corporation 1980),New York,New York,8335897.0
NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),Juno Beach,Florida,3861.0
"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,Washington,Oregon,600176.0
NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-02,1111711,1912,Merrillville,Indiana,36233.0
Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,72331,1935,Westlake,Ohio,33907.0
Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,702165,1881/1894 (1980),Atlanta,Georgia,499127.0
Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,73124,1889,Chicago,Illinois,2665039.0
Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,2011 (1966),Miami,Florida,449514.0
NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871,1992,Houston,Texas,2302878.0
Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940,Charlotte,North Carolina,897720.0
Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,Santa Clara,California,126930.0
O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",2009-03-27,898173,1957,Springfield,Missouri,170067.0
Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,797468,1920,Houston,Texas,2302878.0
Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,878927,1934,Thomasville,North Carolina,27399.0
Omnicom Group,Communication Services,Advertising,"New York City, New York",1997-12-31,29989,1986,New York,New York,8335897.0
ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,1097864,1999,Phoenix,Arizona,1644409.0
ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906,Tulsa,Oklahoma,411867.0
Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977,Austin,Texas,974447.0
Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,1781335,"2020 (1853, United Technologies spinoff)",Farmington,Connecticut,26728.0
Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,75362,1905,Bellevue,Washington,152767.0
Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,75677,1959,Lake Forest,Illinois,19252.0
Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2023-06-20,1327567,2005,Santa Clara,California,126930.0
Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",1994-09-30,813828,2019 (Paramount Pictures 1912),New York,New York,8335897.0
Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,76334,1917,Cleveland,Ohio,361607.0
Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998-10-01,723531,1971,Penfield,New York,38872.0
Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020-01-28,1590955,1998,Oklahoma,Oklahoma,694800.0
PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,1633917,1998,San Jose,California,971233.0
Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849,New York,New York,8335897.0
PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",2022-10-03,1004980,1905,San Francisco,California,808437.0
Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,1413329,2008 (1847),New York,New York,8335897.0
Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,2012 (1917),Houston,Texas,2302878.0
Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",1999-10-04,764622,1985,Phoenix,Arizona,1644409.0
Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357,1997,Irving,Texas,254715.0
PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845,Pittsburgh,Pennsylvania,302898.0
Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,945841,1993,Covington,Louisiana,11636.0
PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883,Pittsburgh,Pennsylvania,302898.0
PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,922224,1920,Allentown,Pennsylvania,125094.0
Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879,Des Moines,Iowa,211034.0
Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837,Cincinnati,Ohio,309513.0
Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937,Mayfield,Ohio,3298.0
Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,1983,San Francisco,California,808437.0
Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,1875,Newark,New Jersey,305344.0
Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903,Newark,New Jersey,305344.0
PTC,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,857005,1985,Boston,Massachusetts,650706.0
Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005-08-19,1393311,1972,Glendale,California,189221.0
PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956,Atlanta,Georgia,499127.0
Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778,2015,Greensboro,North Carolina,301115.0
Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,1997,Houston,Texas,2302878.0
Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999-07-22,804328,1985,San Diego,California,1381162.0
Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967,Secaucus,New Jersey,21108.0
Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,1037038,1967,New York,New York,8335897.0
Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005,1962,Saint Petersburg,Florida,261256.0
RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,101829,1922,Waltham,Massachusetts,64065.0
Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969,San Diego,California,1381162.0
Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606,1963,Jacksonville,Florida,971319.0
Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,1988,Tarrytown,New York,11769.0
Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761,1971,Birmingham,Alabama,196910.0
Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981),Phoenix,Arizona,1644409.0
ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989,San Diego,California,1381162.0
Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,1937,Waltham,Massachusetts,64065.0
Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,315213,1948,Menlo Park,California,32295.0
Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903,Milwaukee,Wisconsin,563305.0
"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,84839,1948,Atlanta,Georgia,499127.0
Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,882835,1981,Sarasota,Florida,57376.0
Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,745732,1982,Dublin,California,72060.0
Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887,1997,Miami,Florida,449514.0
S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1957-03-04,64040,1917,New York,New York,8335897.0
Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999,San Francisco,California,808437.0
SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,1034054,1989,Boca Raton,Florida,99009.0
Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,87347,1926,Houston,Texas,2302878.0
Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,"Charlotte, North Carolina",1957-03-04,1012100,1960,Charlotte,North Carolina,897720.0
Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",2001?,1032208,1998,San Diego,California,1381162.0
ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,1373715,2003,Santa Clara,California,126930.0
Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866,Cleveland,Ohio,361607.0
Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,4127,2002,Irvine,California,313685.0
J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419,1897,Orrville,Ohio,8430.0
Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920,Kenosha,Wisconsin,98484.0
Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945,Atlanta,Georgia,499127.0
Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1994-07-01,92380,1967,Dallas,Texas,1299544.0
Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,93556,1843,New Britain,Connecticut,74396.0
Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000-06-07,829224,1971,Seattle,Washington,749256.0
State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,93751,1792,Boston,Massachusetts,650706.0
Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022-12-22,1022671,1993,Fort Wayne,Indiana,267927.0
Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,1941,Kalamazoo,Michigan,72873.0
Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,2003,Stamford,Connecticut,136188.0
Synopsys,Information Technology,Application Software,"Sunnyvale, California",2017-03-16,883241,1986,Sunnyvale,California,153091.0
Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969,Houston,Texas,2302878.0
T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994,Bellevue,Washington,152767.0
T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,Baltimore,Maryland,569931.0
Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,946581,1993,New York,New York,8335897.0
"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2004-09-01,1116132,2017,New York,New York,8335897.0
Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,1389170,2005,Houston,Texas,2302878.0
Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,27419,1902,Minneapolis,Minnesota,425096.0
Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,1094285,1960,Thousand Oaks,California,124265.0
Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,96943,1943,Wayne,Pennsylvania,51173.0
Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,97210,1960,North Reading,Massachusetts,15549.0
"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,1318605,2003,Austin,Texas,974447.0
Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,Dallas,Texas,1299544.0
Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923,Providence,Rhode Island,189563.0
Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745,2006 (1902),Waltham,Massachusetts,64065.0
TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,1987,Framingham,Massachusetts,70963.0
Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,916365,1938,Brentwood,Tennessee,45136.0
TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,1993,Cleveland,Ohio,361607.0
Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853,New York,New York,8335897.0
Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,864749,1978,Westminster,Colorado,114533.0
Truist,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,92230,1872,Charlotte,North Carolina,897720.0
Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,860731,1966,Plano,Texas,289547.0
Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935,Springdale,Arkansas,87672.0
U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,Minneapolis,Minnesota,425096.0
Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568,1990,Bolingbrook,Illinois,74031.0
Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1957-03-04,100885,1862,Omaha,Nebraska,485153.0
United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2015-09-03,100517,1967,Chicago,Illinois,2665039.0
United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1090727,1907,Sandy Springs,Georgia,107763.0
United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,1997,Stamford,Connecticut,136188.0
UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977,Minnetonka,Minnesota,52544.0
Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,1035002,1980,San Antonio,Texas,1472909.0
Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260,1998,Chicago,Illinois,2665039.0
Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023-10-02,1967680,2023 (Danaher spinoff),Waltham,Massachusetts,64065.0
Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971,Jersey,New Jersey,286670.0
Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,732712,1983 (1877),New York,New York,8335897.0
Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320,1989,Cambridge,Massachusetts,118488.0
VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,103379,1899,Denver,Colorado,713252.0
Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1792044,1961,Pittsburgh,Pennsylvania,302898.0
Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017,New York,New York,8335897.0
Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1403161,1958,San Francisco,California,808437.0
Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,1909,Birmingham,Alabama,196910.0
